reportyear,county_name,strata_level_name_code,strata_level_name,numerator,denominator,rate
2000,Imperial,2,Forcible rape,16,142361,0.11
2000,Imperial,3,Murder and non-negligent manslaughter,4,142361,0.03
2000,Imperial,4,Robbery,130,142361,0.91
2000,Imperial,5,Violent crime total,707,142361,1.24
2000,Inyo,1,Aggravated assault,42,17945,2.34
2000,Inyo,2,Forcible rape,11,17945,0.61
2000,Inyo,3,Murder and non-negligent manslaughter,1,17945,0.06
2000,Inyo,4,Robbery,1,17945,0.06
2000,Inyo,5,Violent crime total,55,17945,0.77
2000,Kern,1,Aggravated assault,2367,661645,3.58
2000,Kern,2,Forcible rape,175,661645,0.26
2000,Kern,3,Murder and non-negligent manslaughter,37,661645,0.06
2000,Kern,4,Robbery,658,661645,0.99
2000,Kern,5,Violent crime total,3237,661645,1.22
2000,Kings,1,Aggravated assault,267,129461,2.06
2000,Kings,2,Forcible rape,31,129461,0.24
2000,Kings,3,Murder and non-negligent manslaughter,3,129461,0.02
2000,Kings,4,Robbery,63,129461,0.49
2000,Kings,5,Violent crime total,364,129461,0.7
2000,Lake,1,Aggravated assault,185,58309,3.17
2000,Lake,2,Forcible rape,17,58309,0.29
2000,Lake,3,Murder and non-negligent manslaughter,5,58309,0.09
2000,Lake,4,Robbery,27,58309,0.46
2000,Lake,5,Violent crime total,234,58309,1.0
2000,Lassen,1,Aggravated assault,52,33828,1.54
2000,Lassen,2,Forcible rape,12,33828,0.35
2000,Lassen,4,Robbery,9,33828,0.27
2000,Lassen,5,Violent crime total,73,33828,0.54
2000,Los Angeles,1,Aggravated assault,57803,9519338,6.07
2000,Los Angeles,2,Forcible rape,2761,9519338,0.29
2000,Los Angeles,3,Murder and non-negligent manslaughter,1006,9519338,0.11
2000,Los Angeles,4,Robbery,28416,9519338,2.99
2000,Los Angeles,5,Violent crime total,89986,9519338,2.36
2000,Madera,1,Aggravated assault,597,123109,4.85
2000,Madera,2,Forcible rape,43,123109,0.35
2000,Madera,3,Murder and non-negligent manslaughter,10,123109,0.08
2000,Madera,4,Robbery,153,123109,1.24
2000,Madera,5,Violent crime total,804,123109,1.63
2000,Marin,1,Aggravated assault,484,226175,2.14
2000,Marin,2,Forcible rape,41,226175,0.18
2000,Marin,3,Murder and non-negligent manslaughter,5,226175,0.02
2000,Marin,4,Robbery,101,226175,0.45
2000,Marin,5,Violent crime total,631,226175,0.7
2000,Mariposa,1,Aggravated assault,122,17130,7.12
2000,Mariposa,2,Forcible rape,5,17130,0.29
2000,Mariposa,4,Robbery,3,17130,0.18
2000,Mariposa,5,Violent crime total,130,17130,1.9
2000,Mendocino,1,Aggravated assault,257,86265,2.98
2000,Mendocino,2,Forcible rape,29,86265,0.34
2000,Mendocino,3,Murder and non-negligent manslaughter,5,86265,0.06
2000,Mendocino,4,Robbery,27,86265,0.31
2000,Mendocino,5,Violent crime total,318,86265,0.92
2000,Merced,1,Aggravated assault,1070,210554,5.08
2000,Merced,2,Forcible rape,58,210554,0.28
2000,Merced,3,Murder and non-negligent manslaughter,6,210554,0.03
2000,Merced,4,Robbery,172,210554,0.82
2000,Merced,5,Violent crime total,1307,210554,1.55
2000,Modoc,1,Aggravated assault,35,9449,3.7
2000,Modoc,2,Forcible rape,2,9449,0.21
2000,Modoc,4,Robbery,1,9449,0.11
2000,Modoc,5,Violent crime total,38,9449,1.0
2000,Mono,1,Aggravated assault,23,12853,1.79
2000,Mono,2,Forcible rape,3,12853,0.23
2000,Mono,3,Murder and non-negligent manslaughter,1,12853,0.08
2000,Mono,4,Robbery,3,12853,0.23
2000,Mono,5,Violent crime total,30,12853,0.58
2000,Monterey,1,Aggravated assault,1462,401762,3.64
2000,Monterey,2,Forcible rape,151,401762,0.38
2000,Monterey,3,Murder and non-negligent manslaughter,25,401762,0.06
2000,Monterey,4,Robbery,673,401762,1.68
2000,Monterey,5,Violent crime total,2311,401762,1.44
2000,Napa,1,Aggravated assault,236,124279,1.9
2000,Napa,2,Forcible rape,37,124279,0.3
2000,Napa,3,Murder and non-negligent manslaughter,3,124279,0.02
2000,Napa,4,Robbery,46,124279,0.37
2000,Napa,5,Violent crime total,322,124279,0.65
2000,Nevada,1,Aggravated assault,119,92033,1.29
2000,Nevada,2,Forcible rape,25,92033,0.27
2000,Nevada,3,Murder and non-negligent manslaughter,1,92033,0.01
2000,Nevada,4,Robbery,14,92033,0.15
2000,Nevada,5,Violent crime total,159,92033,0.43
2000,Orange,1,Aggravated assault,5230,2846289,1.84
2000,Orange,2,Forcible rape,499,2846289,0.18
2000,Orange,3,Murder and non-negligent manslaughter,56,2846289,0.02
2000,Orange,4,Robbery,2815,2846289,0.99
2000,Orange,5,Violent crime total,8600,2846289,0.76
2000,Placer,1,Aggravated assault,398,248399,1.6
2000,Placer,2,Forcible rape,47,248399,0.19
2000,Placer,3,Murder and non-negligent manslaughter,5,248399,0.02
2000,Placer,4,Robbery,83,248399,0.33
2000,Placer,5,Violent crime total,533,248399,0.54
2000,Plumas,1,Aggravated assault,46,20824,2.21
2000,Plumas,2,Forcible rape,12,20824,0.58
2000,Plumas,3,Murder and non-negligent manslaughter,1,20824,0.05
2000,Plumas,4,Robbery,4,20824,0.19
2000,Plumas,5,Violent crime total,63,20824,0.76
2000,Riverside,1,Aggravated assault,7060,1545387,4.57
2000,Riverside,2,Forcible rape,423,1545387,0.27
2000,Riverside,3,Murder and non-negligent manslaughter,79,1545387,0.05
2000,Riverside,4,Robbery,2029,1545387,1.31
2000,Riverside,5,Violent crime total,9591,1545387,1.55
2000,Sacramento,1,Aggravated assault,4142,1223499,3.39
2000,Sacramento,2,Forcible rape,428,1223499,0.35
2000,Sacramento,3,Murder and non-negligent manslaughter,75,1223499,0.06
2000,Sacramento,4,Robbery,2561,1223499,2.09
2000,Sacramento,5,Violent crime total,7206,1223499,1.47
2000,San Benito,1,Aggravated assault,302,51685,5.84
2000,San Benito,2,Forcible rape,4,51685,0.08
2000,San Benito,3,Murder and non-negligent manslaughter,3,51685,0.06
2000,San Benito,4,Robbery,28,51685,0.54
2000,San Benito,5,Violent crime total,337,51685,1.63
2000,San Bernardino,1,Aggravated assault,5900,1709434,3.45
2000,San Bernardino,2,Forcible rape,504,1709434,0.29
2000,San Bernardino,3,Murder and non-negligent manslaughter,145,1709434,0.08
2000,San Bernardino,4,Robbery,2620,1709434,1.53
2000,San Bernardino,5,Violent crime total,9169,1709434,1.34
2000,San Diego,1,Aggravated assault,9501,2813833,3.38
2000,San Diego,2,Forcible rape,801,2813833,0.28
2000,San Diego,3,Murder and non-negligent manslaughter,97,2813833,0.03
2000,San Diego,4,Robbery,3347,2813833,1.19
2000,San Diego,5,Violent crime total,13746,2813833,1.22
2000,San Francisco,1,Aggravated assault,2791,776733,3.59
2000,San Francisco,2,Forcible rape,232,776733,0.3
2000,San Francisco,3,Murder and non-negligent manslaughter,59,776733,0.08
2000,San Francisco,4,Robbery,3480,776733,4.48
2000,San Francisco,5,Violent crime total,6562,776733,2.11
2000,San Joaquin,1,Aggravated assault,3039,563598,5.39
2000,San Joaquin,2,Forcible rape,210,563598,0.37
2000,San Joaquin,3,Murder and non-negligent manslaughter,39,563598,0.07
2000,San Joaquin,4,Robbery,1308,563598,2.32
2000,San Joaquin,5,Violent crime total,4596,563598,2.04
2000,San Luis Obispo,1,Aggravated assault,534,246681,2.16
2000,San Luis Obispo,2,Forcible rape,69,246681,0.28
2000,San Luis Obispo,3,Murder and non-negligent manslaughter,3,246681,0.01
2000,San Luis Obispo,4,Robbery,70,246681,0.28
2000,San Luis Obispo,5,Violent crime total,697,246681,0.71
2000,San Mateo,1,Aggravated assault,1234,707161,1.75
2000,San Mateo,2,Forcible rape,148,707161,0.21
2000,San Mateo,3,Murder and non-negligent manslaughter,10,707161,0.01
2000,San Mateo,4,Robbery,599,707161,0.85
2000,San Mateo,5,Violent crime total,1991,707161,0.7
2000,Santa Barbara,1,Aggravated assault,995,399347,2.49
2000,Santa Barbara,2,Forcible rape,117,399347,0.29
2000,Santa Barbara,3,Murder and non-negligent manslaughter,10,399347,0.03
2000,Santa Barbara,4,Robbery,190,399347,0.48
2000,Santa Barbara,5,Violent crime total,1312,399347,0.82
2000,Santa Clara,1,Aggravated assault,5650,1682585,3.36
2000,Santa Clara,2,Forcible rape,488,1682585,0.29
2000,Santa Clara,3,Murder and non-negligent manslaughter,34,1682585,0.02
2000,Santa Clara,4,Robbery,1054,1682585,0.63
2000,Santa Clara,5,Violent crime total,7226,1682585,1.07
2000,Santa Cruz,1,Aggravated assault,905,255602,3.54
2000,Santa Cruz,2,Forcible rape,102,255602,0.4
2000,Santa Cruz,3,Murder and non-negligent manslaughter,8,255602,0.03
2000,Santa Cruz,4,Robbery,171,255602,0.67
2000,Santa Cruz,5,Violent crime total,1186,255602,1.16
2000,Shasta,1,Aggravated assault,631,163256,3.87
2000,Shasta,2,Forcible rape,115,163256,0.7
2000,Shasta,3,Murder and non-negligent manslaughter,3,163256,0.02
2000,Shasta,4,Robbery,76,163256,0.47
2000,Shasta,5,Violent crime total,825,163256,1.26
2000,Sierra,1,Aggravated assault,4,3555,1.13
2000,Sierra,5,Violent crime total,4,3555,0.28
2000,Siskiyou,1,Aggravated assault,113,44301,2.55
2000,Siskiyou,2,Forcible rape,15,44301,0.34
2000,Siskiyou,3,Murder and non-negligent manslaughter,1,44301,0.02
2000,Siskiyou,4,Robbery,11,44301,0.25
2000,Siskiyou,5,Violent crime total,140,44301,0.79
2000,Solano,1,Aggravated assault,1638,394542,4.15
2000,Solano,2,Forcible rape,134,394542,0.34
2000,Solano,3,Murder and non-negligent manslaughter,21,394542,0.05
2000,Solano,4,Robbery,711,394542,1.8
2000,Solano,5,Violent crime total,2504,394542,1.59
2000,Sonoma,1,Aggravated assault,939,458614,2.05
2000,Sonoma,2,Forcible rape,167,458614,0.36
2000,Sonoma,3,Murder and non-negligent manslaughter,11,458614,0.02
2000,Sonoma,4,Robbery,239,458614,0.52
2000,Sonoma,5,Violent crime total,1356,458614,0.74
2000,Stanislaus,1,Aggravated assault,2404,446997,5.38
2000,Stanislaus,2,Forcible rape,148,446997,0.33
2000,Stanislaus,3,Murder and non-negligent manslaughter,16,446997,0.04
2000,Stanislaus,4,Robbery,520,446997,1.16
2000,Stanislaus,5,Violent crime total,3088,446997,1.73
2000,Sutter,1,Aggravated assault,191,78930,2.42
2000,Sutter,2,Forcible rape,19,78930,0.24
2000,Sutter,3,Murder and non-negligent manslaughter,2,78930,0.03
2000,Sutter,4,Robbery,51,78930,0.65
2000,Sutter,5,Violent crime total,263,78930,0.83
2000,Tehama,1,Aggravated assault,236,56039,4.21
2000,Tehama,2,Forcible rape,12,56039,0.21
2000,Tehama,3,Murder and non-negligent manslaughter,5,56039,0.09
2000,Tehama,4,Robbery,19,56039,0.34
2000,Tehama,5,Violent crime total,272,56039,1.21
2000,Trinity,1,Aggravated assault,19,13022,1.46
2000,Trinity,2,Forcible rape,2,13022,0.15
2000,Trinity,3,Murder and non-negligent manslaughter,2,13022,0.15
2000,Trinity,5,Violent crime total,23,13022,0.44
2000,Tulare,1,Aggravated assault,1905,368021,5.18
2000,Tulare,2,Forcible rape,125,368021,0.34
2000,Tulare,3,Murder and non-negligent manslaughter,17,368021,0.05
2000,Tulare,4,Robbery,330,368021,0.9
2000,Tulare,5,Violent crime total,2377,368021,1.61
2000,Tuolumne,1,Aggravated assault,171,54501,3.14
2000,Tuolumne,2,Forcible rape,11,54501,0.2
2000,Tuolumne,3,Murder and non-negligent manslaughter,2,54501,0.04
2000,Tuolumne,4,Robbery,18,54501,0.33
2000,Tuolumne,5,Violent crime total,202,54501,0.93
2000,Ventura,1,Aggravated assault,1267,753197,1.68
2000,Ventura,2,Forcible rape,156,753197,0.21
2000,Ventura,3,Murder and non-negligent manslaughter,24,753197,0.03
2000,Ventura,4,Robbery,665,753197,0.88
2000,Ventura,5,Violent crime total,2112,753197,0.7
2000,Yolo,1,Aggravated assault,762,168660,4.52
2000,Yolo,2,Forcible rape,60,168660,0.36
2000,Yolo,3,Murder and non-negligent manslaughter,6,168660,0.04
2000,Yolo,4,Robbery,125,168660,0.74
2000,Yolo,5,Violent crime total,953,168660,1.41
2000,Yuba,1,Aggravated assault,261,60219,4.33
2000,Yuba,2,Forcible rape,27,60219,0.45
2000,Yuba,3,Murder and non-negligent manslaughter,3,60219,0.05
2000,Yuba,4,Robbery,51,60219,0.85
2000,Yuba,5,Violent crime total,342,60219,1.42
2000,San Bernardino,1,Aggravated assault,99,18130,5.46
2000,San Bernardino,2,Forcible rape,4,18130,0.22
2000,San Bernardino,3,Murder and non-negligent manslaughter,2,18130,0.11
2000,San Bernardino,4,Robbery,14,18130,0.77
2000,San Bernardino,5,Violent crime total,119,18130,1.64
2000,Los Angeles,1,Aggravated assault,24,20537,1.17
2000,Los Angeles,2,Forcible rape,2,20537,0.1
2000,Los Angeles,4,Robbery,10,20537,0.49
2000,Los Angeles,5,Violent crime total,36,20537,0.44
2000,Alameda,1,Aggravated assault,182,72259,2.52
2000,Alameda,2,Forcible rape,9,72259,0.12
2000,Alameda,3,Murder and non-negligent manslaughter,1,72259,0.01
2000,Alameda,4,Robbery,110,72259,1.52
2000,Alameda,5,Violent crime total,302,72259,1.04
2000,Alameda,1,Aggravated assault,47,16444,2.86
2000,Alameda,2,Forcible rape,3,16444,0.18
2000,Alameda,4,Robbery,38,16444,2.31
2000,Alameda,5,Violent crime total,88,16444,1.34
2000,Los Angeles,1,Aggravated assault,96,85804,1.12
2000,Los Angeles,2,Forcible rape,9,85804,0.1
2000,Los Angeles,3,Murder and non-negligent manslaughter,4,85804,0.05
2000,Los Angeles,4,Robbery,144,85804,1.68
2000,Los Angeles,5,Violent crime total,253,85804,0.74
2000,Modoc,1,Aggravated assault,4,2892,1.38
2000,Modoc,2,Forcible rape,2,2892,0.69
2000,Modoc,5,Violent crime total,6,2892,0.52
2000,Napa,1,Aggravated assault,4,9774,0.41
2000,Napa,2,Forcible rape,2,9774,0.2
2000,Napa,4,Robbery,6,9774,0.61
2000,Napa,5,Violent crime total,12,9774,0.31
2000,Orange,1,Aggravated assault,890,328014,2.71
2000,Orange,2,Forcible rape,84,328014,0.26
2000,Orange,3,Murder and non-negligent manslaughter,11,328014,0.03
2000,Orange,4,Robbery,428,328014,1.3
2000,Orange,5,Violent crime total,1413,328014,1.08
2000,Shasta,1,Aggravated assault,115,9022,12.75
2000,Shasta,2,Forcible rape,7,9022,0.78
2000,Shasta,4,Robbery,10,9022,1.11
2000,Shasta,5,Violent crime total,132,9022,3.66
2000,Calaveras,1,Aggravated assault,33,3004,10.99
2000,Calaveras,5,Violent crime total,33,3004,2.75
2000,Contra Costa,1,Aggravated assault,377,90532,4.16
2000,Contra Costa,2,Forcible rape,15,90532,0.17
2000,Contra Costa,3,Murder and non-negligent manslaughter,3,90532,0.03
2000,Contra Costa,4,Robbery,131,90532,1.45
2000,Contra Costa,5,Violent crime total,526,90532,1.45
2000,San Bernardino,1,Aggravated assault,130,54239,2.4
2000,San Bernardino,2,Forcible rape,11,54239,0.2
2000,San Bernardino,3,Murder and non-negligent manslaughter,5,54239,0.09
2000,San Bernardino,4,Robbery,40,54239,0.74
2000,San Bernardino,5,Violent crime total,186,54239,0.86
2000,Los Angeles,1,Aggravated assault,79,53054,1.49
2000,Los Angeles,2,Forcible rape,2,53054,0.04
2000,Los Angeles,4,Robbery,58,53054,1.09
2000,Los Angeles,5,Violent crime total,139,53054,0.66
2000,Humboldt,1,Aggravated assault,16,16651,0.96
2000,Humboldt,2,Forcible rape,4,16651,0.24
2000,Humboldt,4,Robbery,8,16651,0.48
2000,Humboldt,5,Violent crime total,28,16651,0.42
2000,San Luis Obispo,1,Aggravated assault,10,15851,0.63
2000,San Luis Obispo,2,Forcible rape,4,15851,0.25
2000,San Luis Obispo,4,Robbery,3,15851,0.19
2000,San Luis Obispo,5,Violent crime total,17,15851,0.27
2000,Los Angeles,1,Aggravated assault,53,16380,3.24
2000,Los Angeles,2,Forcible rape,4,16380,0.24
2000,Los Angeles,4,Robbery,58,16380,3.54
2000,Los Angeles,5,Violent crime total,115,16380,1.75
2000,Kern,1,Aggravated assault,62,12956,4.79
2000,Kern,2,Forcible rape,1,12956,0.08
2000,Kern,3,Murder and non-negligent manslaughter,1,12956,0.08
2000,Kern,4,Robbery,11,12956,0.85
2000,Kern,5,Violent crime total,75,12956,1.45
2000,San Luis Obispo,1,Aggravated assault,122,26411,4.62
2000,San Luis Obispo,2,Forcible rape,5,26411,0.19
2000,San Luis Obispo,4,Robbery,7,26411,0.27
2000,San Luis Obispo,5,Violent crime total,134,26411,1.27
2000,San Mateo,1,Aggravated assault,14,7194,1.95
2000,San Mateo,2,Forcible rape,1,7194,0.14
2000,San Mateo,4,Robbery,4,7194,0.56
2000,San Mateo,5,Violent crime total,19,7194,0.66
2000,Merced,1,Aggravated assault,139,23113,6.01
2000,Merced,2,Forcible rape,3,23113,0.13
2000,Merced,4,Robbery,17,23113,0.74
2000,Merced,5,Violent crime total,159,23113,1.72
2000,Placer,1,Aggravated assault,26,12462,2.09
2000,Placer,2,Forcible rape,8,12462,0.64
2000,Placer,4,Robbery,6,12462,0.48
2000,Placer,5,Violent crime total,40,12462,0.8
2000,Los Angeles,1,Aggravated assault,29,3127,9.27
2000,Los Angeles,4,Robbery,1,3127,0.32
2000,Los Angeles,5,Violent crime total,30,3127,2.4
2000,Kings,1,Aggravated assault,24,14674,1.64
2000,Kings,2,Forcible rape,2,14674,0.14
2000,Kings,3,Murder and non-negligent manslaughter,1,14674,0.07
2000,Kings,4,Robbery,4,14674,0.27
2000,Kings,5,Violent crime total,31,14674,0.53
2000,Los Angeles,1,Aggravated assault,82,44712,1.83
2000,Los Angeles,2,Forcible rape,13,44712,0.29
2000,Los Angeles,3,Murder and non-negligent manslaughter,2,44712,0.04
2000,Los Angeles,4,Robbery,48,44712,1.07
2000,Los Angeles,5,Violent crime total,145,44712,0.81
2000,Kern,1,Aggravated assault,385,247057,1.56
2000,Kern,2,Forcible rape,25,247057,0.1
2000,Kern,3,Murder and non-negligent manslaughter,23,247057,0.09
2000,Kern,4,Robbery,283,247057,1.15
2000,Kern,5,Violent crime total,716,247057,0.72
2000,Los Angeles,1,Aggravated assault,154,75837,2.03
2000,Los Angeles,2,Forcible rape,16,75837,0.21
2000,Los Angeles,3,Murder and non-negligent manslaughter,7,75837,0.09
2000,Los Angeles,4,Robbery,125,75837,1.65
2000,Los Angeles,5,Violent crime total,302,75837,0.99
2000,Riverside,1,Aggravated assault,220,23562,9.34
2000,Riverside,2,Forcible rape,6,23562,0.25
2000,Riverside,3,Murder and non-negligent manslaughter,1,23562,0.04
2000,Riverside,4,Robbery,31,23562,1.32
2000,Riverside,5,Violent crime total,258,23562,2.74
2000,San Bernardino,1,Aggravated assault,116,21119,5.49
2000,San Bernardino,2,Forcible rape,9,21119,0.43
2000,San Bernardino,3,Murder and non-negligent manslaughter,2,21119,0.09
2000,San Bernardino,4,Robbery,44,21119,2.08
2000,San Bernardino,5,Violent crime total,171,21119,2.02
2000,Riverside,1,Aggravated assault,154,11384,13.53
2000,Riverside,2,Forcible rape,2,11384,0.18
2000,Riverside,3,Murder and non-negligent manslaughter,1,11384,0.09
2000,Riverside,4,Robbery,13,11384,1.14
2000,Riverside,5,Violent crime total,170,11384,3.73
2000,Los Angeles,1,Aggravated assault,167,36664,4.55
2000,Los Angeles,2,Forcible rape,8,36664,0.22
2000,Los Angeles,3,Murder and non-negligent manslaughter,4,36664,0.11
2000,Los Angeles,4,Robbery,80,36664,2.18
2000,Los Angeles,5,Violent crime total,259,36664,1.76
2000,Los Angeles,1,Aggravated assault,236,72878,3.24
2000,Los Angeles,2,Forcible rape,14,72878,0.19
2000,Los Angeles,3,Murder and non-negligent manslaughter,5,72878,0.07
2000,Los Angeles,4,Robbery,181,72878,2.48
2000,Los Angeles,5,Violent crime total,436,72878,1.5
2000,Los Angeles,1,Aggravated assault,234,44054,5.31
2000,Los Angeles,2,Forcible rape,5,44054,0.11
2000,Los Angeles,3,Murder and non-negligent manslaughter,3,44054,0.07
2000,Los Angeles,4,Robbery,135,44054,3.06
2000,Los Angeles,5,Violent crime total,377,44054,2.14
2000,San Mateo,1,Aggravated assault,63,25123,2.51
2000,San Mateo,2,Forcible rape,5,25123,0.2
2000,San Mateo,4,Robbery,13,25123,0.52
2000,San Mateo,5,Violent crime total,81,25123,0.81
2000,Marin,1,Aggravated assault,1,2125,0.47
2000,Marin,5,Violent crime total,1,2125,0.12
2000,Solano,1,Aggravated assault,31,26865,1.15
2000,Solano,2,Forcible rape,6,26865,0.22
2000,Solano,4,Robbery,14,26865,0.52
2000,Solano,5,Violent crime total,51,26865,0.47
2000,Alameda,1,Aggravated assault,377,102743,3.67
2000,Alameda,2,Forcible rape,41,102743,0.4
2000,Alameda,3,Murder and non-negligent manslaughter,4,102743,0.04
2000,Alameda,4,Robbery,332,102743,3.23
2000,Alameda,5,Violent crime total,754,102743,1.83
2000,Los Angeles,1,Aggravated assault,49,33784,1.45
2000,Los Angeles,2,Forcible rape,7,33784,0.21
2000,Los Angeles,3,Murder and non-negligent manslaughter,1,33784,0.03
2000,Los Angeles,4,Robbery,66,33784,1.95
2000,Los Angeles,5,Violent crime total,123,33784,0.91
2000,San Bernardino,1,Aggravated assault,37,5438,6.8
2000,San Bernardino,2,Forcible rape,2,5438,0.37
2000,San Bernardino,4,Robbery,5,5438,0.92
2000,San Bernardino,5,Violent crime total,44,5438,2.02
2000,Butte,1,Aggravated assault,2,1793,1.12
2000,Butte,4,Robbery,1,1793,0.56
2000,Butte,5,Violent crime total,3,1793,0.42
2000,Inyo,1,Aggravated assault,25,3575,6.99
2000,Inyo,2,Forcible rape,2,3575,0.56
2000,Inyo,4,Robbery,1,3575,0.28
2000,Inyo,5,Violent crime total,28,3575,1.96
2000,Humboldt,1,Aggravated assault,1,1135,0.88
2000,Humboldt,2,Forcible rape,1,1135,0.88
2000,Humboldt,5,Violent crime total,2,1135,0.44
2000,Riverside,1,Aggravated assault,147,12155,12.09
2000,Riverside,2,Forcible rape,2,12155,0.16
2000,Riverside,4,Robbery,17,12155,1.4
2000,Riverside,5,Violent crime total,166,12155,3.42
2000,Los Angeles,1,Aggravated assault,6,855,7.02
2000,Los Angeles,5,Violent crime total,6,855,1.75
2000,Imperial,1,Aggravated assault,68,22052,3.08
2000,Imperial,3,Murder and non-negligent manslaughter,1,22052,0.05
2000,Imperial,4,Robbery,29,22052,1.32
2000,Imperial,5,Violent crime total,98,22052,1.11
2000,Orange,1,Aggravated assault,119,35410,3.36
2000,Orange,2,Forcible rape,9,35410,0.25
2000,Orange,4,Robbery,28,35410,0.79
2000,Orange,5,Violent crime total,156,35410,1.1
2000,Contra Costa,1,Aggravated assault,36,23302,1.54
2000,Contra Costa,2,Forcible rape,4,23302,0.17
2000,Contra Costa,4,Robbery,9,23302,0.39
2000,Contra Costa,5,Violent crime total,49,23302,0.53
2000,San Mateo,2,Forcible rape,1,3597,0.28
2000,San Mateo,4,Robbery,5,3597,1.39
2000,San Mateo,5,Violent crime total,6,3597,0.42
2000,San Mateo,2,Forcible rape,1,4026,0.25
2000,San Mateo,4,Robbery,1,4026,0.25
2000,San Mateo,5,Violent crime total,2,4026,0.12
2000,Santa Barbara,1,Aggravated assault,5,3828,1.31
2000,Santa Barbara,4,Robbery,2,3828,0.52
2000,Santa Barbara,5,Violent crime total,7,3828,0.46
2000,Orange,1,Aggravated assault,148,78282,1.89
2000,Orange,2,Forcible rape,14,78282,0.18
2000,Orange,4,Robbery,124,78282,1.58
2000,Orange,5,Violent crime total,286,78282,0.91
2000,Los Angeles,1,Aggravated assault,202,100316,2.01
2000,Los Angeles,2,Forcible rape,8,100316,0.08
2000,Los Angeles,3,Murder and non-negligent manslaughter,1,100316,0.01
2000,Los Angeles,4,Robbery,86,100316,0.86
2000,Los Angeles,5,Violent crime total,297,100316,0.74
2000,San Mateo,1,Aggravated assault,33,28158,1.17
2000,San Mateo,2,Forcible rape,8,28158,0.28
2000,San Mateo,4,Robbery,23,28158,0.82
2000,San Mateo,5,Violent crime total,64,28158,0.57
2000,Los Angeles,1,Aggravated assault,26,20033,1.3
2000,Los Angeles,2,Forcible rape,3,20033,0.15
2000,Los Angeles,4,Robbery,5,20033,0.25
2000,Los Angeles,5,Violent crime total,34,20033,0.42
